tipo,titulo,fecha,url,duracion,preciomin,preciomax,lugar,desc
Música,"Buba Espinho, Portugal - Festival de Fado - Coproducción de Alto e Bom Som y Everything is New",2022-11-18 20:00,https://www.teatromayor.org/es/evento/musica/festival-de-fado-5187?function=2721,1.3333333333333333,50000.0,70000.0,Teatro Estudio,"Buba Espinho, una de las más esperadas promesas de la nueva generación del fado, encarna la relación entre dos patrimonios culturales inmateriales de la humanidad: el cante alentejano y el fado. Este cantante empezó participando en grupos tradicionales, pasó por las más icónicas casas de fado de Lisboa y proyecta una carrera internacional. En el Festival de Fado, que en esta edición está dedicado a ‘Fado y el mar’ presentará su primer trabajo de estudio, que fue lanzado en 2020.
Festival de Fado
El Festival de Fado, que nace en 2011 en Madrid y desde entonces se ha extendido a varias ciudades del mundo, se realiza en Bogotá anualmente desde 2015. En el marco de esta apuesta por promover la lengua y la cultura portuguesa, se han presentado en el Teatro Mayor Julio Mario Santo Domingo artistas como Sara Correia, Katia Guerreiro, Carminho y Jose Manuel Neto, entre otros.
El fado, género musical luso, es considerado Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO y en las dos últimas décadas ha aumentado su popularidad en todo el mundo, ganando cada vez más público y ayudando a difundir la cultura y la marca de Portugal a partir de las sus melodías.
Actividades paralelas
La celebración del Festival de Fado en Bogotá cuenta con las siguientes actividades paralelas, con entrada gratuita.
- Proyección de la película 'Fado', de Sofía Portugal y Aurelio Vásquez
Biblioteca Pública Julio Mario Santo Domingo
Viernes 18 de noviembre, 7:00 p.m.
 
- Conferencia: 'Saudades da Tierra Firme: El fado y el mar'
A Cargo de David Ferreira
Sábado 19 de noviembre, 7 p.m.
 
- Muestra artística: 'El fado y el mar'
18 a 20 de noviembre
Centro Cultural Julio Mario Santo Domingo
 
Buba Espinho
Natural de Beja, desde muy temprano vive y siente la música tradicional intensamente, de la mano de su padre, también músico, que le transmitió la importante misión de conservarla.
Si el cante alentejano surge en Buba Espinho de pequeño, el fado aparece más tarde, de forma natural, como la estética que entendió que atravesaría, en perfecta armonía, las influencias de sus raíces.
Pese a su juventud cuenta ya con una larga trayectoria musical, que empezó con el cante, donde formó parte de varios grupos como los Adiafa, A Moda Mãe, Os Bubedanas, Mestre Cante y HáLobos SemSer naSerra, un largo camino que, en 2016, y habiendo ya asumido su lugar como fadista, le lleva a ganar la Grande Noite do Fado, en el Coliseudos Recreios, y le convierte en una de las más esperadas promesas de la nueva generación de cantantes de fado.
Es en ese momento cuando decide iniciar en solitario una carrera que ya está escrita desde hace mucho tiempo. Realiza sus primeros conciertos en solitario, explora la composición y grava sus primeras canciones. Desde entonces, ha sido un invitado habitual en espectáculos de grandes nombres de la música portuguesa, como Rui Veloso, Ana Moura, António Zambujo, Celina da Piedade, JúlioResende, entre muchos otros.
De Beja partió hacia Lisboa, donde pasó por las más icónicas casas de fado de la ciudad, desde Faia a Casa de Linhares, del Clube de Fado a la Adega Machado, y de ahí a los principales escenarios nacionales, con actuaciones inolvidables en el Festival NOS Alive, el Coliseude Lisboa, el Coliseu de Oporto, la Casa da Música, la CCB, Ovibejay muchos más.  Fuera de Portugal, Buba Espinho, está forjándose una carrera internacional cuyo éxito es más que previsible y ya ha pasado por países como Inglaterra, Timor, Canadá, España, Austria, Suiza o Francia.
En 2020, lanzó su primer disco de estudio, que refleja la difícil armonía entre la juventud y la tradición, entre el interior y el litoral, el legado de generaciones dedicadas a la música tradicional o de raíz portuguesa que tuvieron el valor y la determinación de arriesgar e innovar.
En 2022, presenta, en el Festival de Fado, su más reciente trabajo."
Música,"Orquesta Filarmónica de Bogotá - Director: Joachim Gustafsson, Suecia. Solista: Anibal Dos Santos, viola, Portugal /...",2022-11-18 20:00,https://www.teatromayor.org/es/evento/musica/orquesta-filarmonica-de-bogota-5186?function=2720,1.25,50000.0,50000.0,Teatro Mayor Julio Mario Santo Domingo,"La Orquesta Filarmónica de Bogotá bajo la dirección de Joachim Gustafsson interpretará la obertura fantasía de ‘Romeo y Julieta’, compuesta por Tchaikovsky en 1880, y la obra ‘Movimiento’, del colombiano Jesús Pinzón. El concierto tendrá la participación también del violista Anibal dos Santos, quien será solista en el Concierto para viola en do menor del compositor inglés York Bowen.  
Joachim Gustafsson 
Director Titular, Suecia 
Reconocido como uno de los directores escandinavos más versátiles de su generación, Joachim Gustafsson hizo su debut con la Orquesta Filarmónica de Bogotá en 2012, ha sido invitado regular desde entonces y fue nombrado director titular en Julio de 2021. Es también director artístico de la Orquesta Sinfónica de Boras y del Festival Internacional de Música Tommie Haglund en Suecia.
Anibal Dos Santos 
Viola, Venezuela / Portugal 
Alumno de Joseph de Pasquale, se graduó en el Curtis Institute of Music en 1988. Desde entonces es violista principal de la Orquesta Filarmónica de Bogotá y durante más de tres décadas ha realizado estrenos para Colombia de numerosas obras para viola del repertorio universal. 
Orquesta Filarmónica de Bogotá 
La actividad desarrollada por la Fundación Filarmónica Colombiana y el trabajo liderado por el maestro Raúl García permitieron la creación de la Orquesta Filarmónica de Bogotá, reconocida formalmente en la ciudad en 1967. En la búsqueda de democratizar la cultura musical, promover la práctica de la música de cámara, la dirección y la divulgación de la música sinfónica, durante sus 55 años de existencia, la Orquesta se ha convertido en patrimonio de la ciudad."
Música,"Mariza, Portugal - Festival de Fado - Coproducción de Alto e Bom Som y Everything is New",2022-11-19 20:00,https://www.teatromayor.org/es/evento/musica/festival-de-fado-5188?function=2722,1.1666666666666667,90000.0,105000.0,Teatro Mayor Julio Mario Santo Domingo,"Tras 20 años de carrera, Mariza ha recorrido un viaje que la llevó de ser un fenómeno local admirado por los lisboetas a convertirse en una de las voces más aplaudidas del circuito de músicas del mundo y en una auténtica embajadora del fado. En 2022, será una de las protagonistas del Festival de Fado que llega a Bogotá con la temática de ‘Fado y el mar’.
Festival de Fado
El Festival de Fado, que nace en 2011 en Madrid y desde entonces se ha extendido a varias ciudades del mundo, se realiza en Bogotá anualmente desde 2015. En el marco de esta apuesta por promover la lengua y la cultura portuguesa, se han presentado en el Teatro Mayor Julio Mario Santo Domingo artistas como Sara Correia, Katia Guerreiro, Carminho y Jose Manuel Neto, entre otros.
El fado, género musical luso, es considerado Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO y en las dos últimas décadas ha aumentado su popularidad en todo el mundo, ganando cada vez más público y ayudando a difundir la cultura y la marca de Portugal a partir de las sus melodías.
Actividades paralelas
La celebración del Festival de Fado en Bogotá cuenta con las siguientes actividades paralelas, con entrada gratuita.
- Proyección de la película 'Fado', de Sofía Portugal y Aurelio Vásquez
Biblioteca Pública Julio Mario Santo Domingo
Viernes 18 de noviembre, 7:00 p.m.
 
- Conferencia: 'Saudades da Tierra Firme: El fado y el mar'
A Cargo de David Ferreira
Sábado 19 de noviembre, 7 p.m.
 
- Muestra artística: 'El fado y el mar'
18 a 20 de noviembre
Centro Cultural Julio Mario Santo Domingo
 
Mariza
20 años de carrera, 20 años de música, 20 años de un viaje que comenzó discretamente, como un fenómeno local casi escondido que compartían un pequeño círculo de admiradores lisboetas y que llevó a Mariza, con su extraordinaria voz, en una de las estrellas más aplaudidas del circuito de músicas del mundo. Mariza es una auténtica embajadora del fado que no duda en llevarlo por nuevos y audaces caminos, sin perder nunca de vista su alma.
Desde Amália Rodrigues, ningún otro artista portugués había construido una carrera internacional de semejante éxito, que acumula noches triunfales en los escenarios mundiales más prestigiosos, menciones entusiastas de los críticos musicales más exigentes y una lista inagotable de premios y distinciones internacionales. Como siempre, sigue colaborando solo con los mejores: Jacques Morelenbaum y John Mauceri , José Merced y Miguel Poveda, Gilberto Gil e Ivan Lins, Lenny Kravitz y Sting, Cesária Évora y Tito Paris, Vanesa Martín y Sergio Dalma, Rui Veloso y Carlos do Carmo."
Música,"Juan Sebastián Collazos, piano, Colombia - ‘Serenata latina’",2022-11-23 20:00,https://www.teatromayor.org/es/evento/musica/juan-sebastian-collazos-piano-colombia-serenata-latina-5189?function=2723,1.25,30000.0,40000.0,Teatro Estudio,"‘Serenata latina’ es un recorrido por algunos países latinoamericanos en la que se resalta la escritura para piano clásico en contextos nacionalistas y modernos. Es una mixtura de sonoridades tradicionales junto con nuevas expresiones que fusionan colores entre lo folclórico, el jazz y lo clásico, y en donde, por supuesto, el piano es el protagonista. 
Juan Sebastián Collazos Valencia 
Piano, Colombia 
El pianista Juan Sebastián Collazos Valencia ha sido galardonado en concursos como el Concurso Nacional de Piano del Teatro Colón de Bogotá en 2018, Schwob Concerto Competition en 2018, Georgia State Young Artist Piano MTNA Competition, GMTA State Auditions del 2018, Jóvenes Talentos del Festival Internacional de Música de Cartagena en 2019 y el VII Concurso Internacional de Piano Maria Clara Cullell, entre otros.  
Se ha presentado como solista en España, Italia, Costa Rica, Hungría, Estados Unidos y en los escenarios más importantes de Colombia. Adicionalmente, se ha presentado como artista invitado en importantes festivales internacionales. Ha sido además solista con diferentes orquestas entre las cuáles se destacan la Orquesta Sinfónica Nacional de Colombia, Schwob Philharmonic, Filarmónica de Cali y la Orquesta Filarmónica Cajamag de Santa Marta."
Música,"Orquesta Sinfónica Nacional de Colombia – ‘Cañizares y Bruckner’ - Solista: Juan Manuel Cañizares, guitarra, España....",2022-11-24 20:00,https://www.teatromayor.org/es/evento/musica/orquesta-sinfonica-nacional-de-colombia-solista-juan-manuel-canizares-guitarra-espana-director-5190?function=2724,1.9166666666666665,90000.0,105000.0,Teatro Mayor Julio Mario Santo Domingo,"Uno de los artistas flamencos más importantes e influyentes en todo el mundo, el guitarrista y compositor Juan Manuel Cañizares, interpretará junto a la Orquesta Sinfónica Nacional de Colombia 'Al-Andalus', obra de su autoría que demuestra el hermanamiento instintivo entre la música clásica y el flamenco, y que nace del desconsuelo por la muerte de Paco de Lucía, con quien el compositor compartió diez años de trabajo y de honda amistad.  
En el concierto, que contará con la dirección del respetado y admirado director búlgaro Rossen Milanov, también se escuchará la ‘Sinfonía n.° 4 en mi bemol mayor’ de Anton Bruckner, una de sus composiciones más populares, estrenada en Viena con gran éxito, bajo la dirección de Hans Richter. 


Rossen Milanov 
Director, Bulgaria 
Respetado y admirado por el público y los músicos por igual, Rossen Milanov es actualmente el director musical de la Orquesta Sinfónica de Columbus, la Orquesta Sinfónica de Chautauqua, la Orquesta Sinfónica de Princeton y recientemente ha sido nombrado director titular de la Orquesta RTV de Eslovenia en Liubliana.  
A nivel internacional, ha colaborado con orquestas como la BBC, la Suisse Romand, la Rotterdam Philharmonic, las orquestas de Toronto, Vancouver, Aalborg y Latvian y la Sinfónica Nacional Húngara, la KwaZulu-Natal Philharmonic en Sudáfrica, y con agrupaciones sinfónicas en México, Colombia, Sao Paolo, Belo Horizonte y la Orquesta Sinfónica de Nueva Zelanda. En el Lejano Oriente ha aparecido con NHK, Sapporo, Tokio, Singapore Symphonies, Hyogo Performing Arts Center, Malaysian y Hong Kong Philharmonic. 
 
Juan Manuel Cañizares 
Guitarra, España 
Cañizares es uno de los artistas flamencos más importantes e influyentes en todo el mundo, pero se encuentra igual de cómodo con el repertorio clásico y con sus propias composiciones. Cañizares mantuvo una estrecha relación con Paco de Lucía durante diez años, así como con numerosos grandes artistas y creadores como Enrique Morente, Camarón de la Isla, Serrat, Alejandro Sanz, John Paul Jones, Peter Gabriel, Mauricio Sotelo y Leo Brouwer, entre otros.  
Con una carrera que abarca más de cuatro décadas, Cañizares es el único guitarrista flamenco invitado por la Filarmónica de Berlín, junto a la que interpretó el Concierto de Aranjuez bajo la batuta de Sir Simon Rattle. Ha colaborado con las principales orquestas del mundo, entre las cuales destacan Staatskapelle Dresden, Orquesta Sinfónica de la Ciudad de Birmingham, Orquesta y Coro Nacionales de España, Orquesta Sinfónica de Barcelona i Nacional de Catalunya."
Música,Coro de la Ópera de Colombia - 'Descubriendo imaginarios: nueva música coral de compositores colombianos',2022-11-25 20:00,https://www.teatromayor.org/es/evento/musica/coro-de-la-opera-de-colombia-5191?function=2725,1.6666666666666665,70000.0,70000.0,Teatro Mayor Julio Mario Santo Domingo,"El Coro de la Ópera de Colombia comenzó sus labores en 1992, conjuntamente con la Nueva Ópera de Colombia, con la función específica de consolidarse como intérprete del género lírico y ser parte fundamental en cada uno de los títulos de la temporada de ópera de la Fundación Camarín Del Carmen.
Conforman su repertorio más de cincuenta grandes obras de la literatura lírica universal entre ópera, zarzuela y obras sinfónico-corales. En 2013 estrenó en Colombia ‘Tannhauser’, de Wagner, bajo la dirección de Gustavo Dudamel, con gran éxito. Durante varios años, además, participó en el Festival Ópera al Parque que realiza la Alcaldía de Bogotá.
Fue invitado al Cartagena Music Festival en 2011, cuando interpretó la ‘Misa en si menor’ de Johann Sebastian Bach; en 2014, con ‘La Cenerentola’; en 2017, con ‘Las bodas de Fígaro’, y en 2019, con ‘Così fan tutte’. También ha estrenado en Colombia, entre otras, la ‘Sinfonía n.° 8’ de Mahler, ‘Requiem de guerra’ de Britten, ‘Oedipus Rex’ de Stravinsky, ‘Voices of Light’ de Einhorn y ‘Sacrifixio’ de Zyman.
El Coro de la Ópera ha tenido como directores a Gustavo Yépez, Juan Carlos Rivas, Alejandro Zuleta y Luis Díaz Hérodier, quien es su director desde 2002.  Los integrantes del coro son, en su mayoría, estudiantes y egresados de las diferentes facultades de música del país y muchas de sus voces se perfilan como futuras promesas del canto nacional."
Danza,"Los Vivancos, España",2022-12-07 20:00,https://www.teatromayor.org/es/evento/danza/los-vivancos-espana-13711?function=2764,2.0,280000.0,300000.0,Teatro Mayor Julio Mario Santo Domingo,"En 2006 seis hermanos se reunieron para hacer realidad un sueño: el resultado fue la agrupación músico-escénica Los Vivancos, que más que una compañía que ha revolucionado el mundo de la danza flamenca se trata de una herencia, un legado que les corría por las venas.  
‘Vivancos Live’ es la representación perfecta de la trayectoria que han recorrido estos artistas multidisciplinares en una obra que une arte, efectos grandilocuentes y una diversidad musical que va del flamenco al rock y a los grandes clásicos, para introducir al espectador en un ambiente totalmente cinematográfica: una oda a la belleza del arte sin ataduras y la combinación perfecta de la esencia de Los Vivancos. 
‘Vivancos Live’ 
Los Vivancos presentan su producción más personal, que reúne lo mejor de sus tres espectáculos previos: ‘7 Hermanos’, ‘Aeternum’ y ‘Nacidos para bailar’. Así, los hermanos Vivancos brindan la inmortalidad de su arte: ballet, danza contemporánea, folclore, artes marciales y tap dance se fusionan en este gran espectáculo que enmarca fantasía romántica y fuerza física. 
Creado, producido y dirigido por los propios hermanos Vivancos, esta obra combina lo mejor de su trayectoria artística."
Familia,Beca de Creación Escénica Multidisciplinar para la Primera Infancia,2022-12-10 11:00,https://www.teatromayor.org/es/evento/familia/beca-de-creacion-escenica-multidisciplinar-para-la-primera-infancia-5192?function=2726,2.0,18000.0,25000.0,Teatro Estudio,"Desde 2012, el Teatro Mayor Julio Mario Santo Domingo y el Teatro Jorge Eliécer Gaitán otorgan la Beca de Creación Multidisciplinar, que busca fomentar la creación y circulación de obras que integren mínimo tres áreas artísticas (las artes circenses, los títeres, la música, la danza y el arte dramático, entre otras) para presentarse en estos dos escenarios. La obra que se presentará será la ganadora de la beca."
Música,"Orkester Nord, Noruega - El triunfo del tiempo y del desengaño - Georg Fredrich Händel. Director: Martin Wåhlberg,...",2022-12-10 17:00,https://www.teatromayor.org/es/evento/musica/orkester-nord-noruega-el-triunfo-del-tiempo-y-del-desengano-georg-fredrich-handel-alemania-director-4961?function=2569,2.0,150000.0,190000.0,Teatro Mayor Julio Mario Santo Domingo,"Como parte del Foco Nórdico la Orkester Nord, una de las orquestas especializadas en la interpretación de música clásica y barroca con instrumentos históricos más reconocidas de Escandinavia, presentará una obra que acompañó al compositor Georg Friedrich Händel a lo largo de su vida: el oratorio ‘El triunfo del tiempo y del desengaño’, presentado por el compositor e Londres en 1737 pero que había sido compuesto veinte años atrás.
La Orkester Nord, que ha sido reconocida por la crítica debido a la energía, la calidad y la originalidad en su interpretación, estará bajo la batuta del director alemán Martin Wåhlberg, quien estudió violonchelo en los conservatorios de Rouen (Francia), Trondheim (Noruega) y el Conservatoire Supérieure de Paris-CNR (Francia) y realizó un doctorado en Historia de la Literatura y las Artes en la Universidad de Trondheim (Noruega) y en la Sorbona (Francia). Durante su carrera ha combinado la curiosidad natural y los estudios académicos en literatura del siglo XVIII y la música barroca para imprimir un estilo fresco e innovador en las interpretaciones."
Stand Up Comedy,La prueba de la existencia de Dios,2022-11-18 20:00,https://www.atrapalo.com.co/entradas/la-prueba-de-la-existencia-de-dios_e4884151/,1.5,60000.0,,"Casa E Borrero, Sala Arlequín","La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento."
