Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Sankai Juku, Japón – ‘KŌSA – Between Two Mirrors’ - Director y coreógrafo: Amagatsu Ushio",11/04/2022,08:00 PM,11/04/2022,09:18 PM,False,"Danza
120k
Esta obra de danza butoh es la más reciente creación de la compañía Sankai Juku. Fue compuesta por Ushio Amagatsu y construida especialmente tras la pandemia de covid-19. En ella participan siete bailarines, quienes transmiten la belleza de esta tradición japonesa.  Sankai Juku, Japón La compañía de danza butoh Sankai Juku fue fundada en 1975. Desde entonces, se ha dedicado a presentar sus espectáculos en diversos escenarios alrededor del mundo y a enseñar esta tradición. Fue pionera en presentar la danza butoh por fuera de Japón cuando, en 1980, viajó al Nancy International Festival en Francia, donde tuvo tan buena acogida que, durante los siguientes cuatro años, estuvo presentándose en eventos como el Festival de Edimburgo, el Festival Internacional de Madrid y el Festival Internacional Cervantino en Guanajuato, México. Desde entonces ha estado en 47 países y en más de 700 ciudades del mundo. Amagatsu Ushio, Japón Fundador, líder y coreógrafo de Sankai Juku. Ha creado 14 espectáculos de danza butoh para la compañía desde 1982 y ha presentado sus piezas durante más de 50 años en más de 45 países. Además, ha trabajado de forma independiente y ha presidido los jurados de reconocidos concursos de danza como la Competencia Coreográfica Internacional de la Academia Nacional de Danza de Italia (2011).
https://www.teatromayor.org/es/evento/danza/sankai-juku-japon-4960?function=2567",Teatro Mayor Julio Mario Santo Domingo,False
"Los Vivancos, España",12/07/2022,08:00 PM,12/07/2022,10:00 PM,False,"Danza
280k
En 2006 seis hermanos se reunieron para hacer realidad un sueño: el resultado fue la agrupación músico-escénica Los Vivancos, que más que una compañía que ha revolucionado el mundo de la danza flamenca se trata de una herencia, un legado que les corría por las venas.  ‘Vivancos Live’ es la representación perfecta de la trayectoria que han recorrido estos artistas multidisciplinares en una obra que une arte, efectos grandilocuentes y una diversidad musical que va del flamenco al rock y a los grandes clásicos, para introducir al espectador en un ambiente totalmente cinematográfica: una oda a la belleza del arte sin ataduras y la combinación perfecta de la esencia de Los Vivancos. ‘Vivancos Live’ Los Vivancos presentan su producción más personal, que reúne lo mejor de sus tres espectáculos previos: ‘7 Hermanos’, ‘Aeternum’ y ‘Nacidos para bailar’. Así, los hermanos Vivancos brindan la inmortalidad de su arte: ballet, danza contemporánea, folclore, artes marciales y tap dance se fusionan en este gran espectáculo que enmarca fantasía romántica y fuerza física. Creado, producido y dirigido por los propios hermanos Vivancos, esta obra combina lo mejor de su trayectoria artística.
https://www.teatromayor.org/es/evento/danza/los-vivancos-espana-13711?function=2764",Teatro Mayor Julio Mario Santo Domingo,False
Festival Danza En La Ciudad: Fiestas De Mi Pueblo,11/12/2022,03:00 PM,11/12/2022,04:30 PM,False,"Danza
15k
nan
https://idartes.checkout.tuboleta.com/selection/event/seat?perfId=10228758214618&ot=0&lang=es",Teatro El Ensueño,False
Festival Danza En La Ciudad: El Cumbión Del Chivo,11/10/2022,07:00 PM,11/10/2022,08:30 PM,False,"Danza
15k
nan
https://idartes.checkout.tuboleta.com/selection/event/seat?perfId=10228758214619&ot=0&lang=es",Teatro El Ensueño,False
Festival Danza En La Ciudad: Aire (Larumbe Danza),11/13/2022,03:00 PM,11/13/2022,04:30 PM,False,"Danza
0
nan
https://idartes.checkout.tuboleta.com/selection/event/date?productId=10228758244506&lang=es",Teatro El Ensueño,False
I Lobby To Much Presenta: La Milonga De La Capital,10/23/2022,02:00 PM,10/23/2022,03:30 PM,False,"Danza
22k
nan
https://idartes.checkout.tuboleta.com/selection/event/date?productId=10228602025835&lang=es",Teatro Jorge Eliecer Gaitán,False
I Lobby To Much Presenta: La Milonga De La Capital,11/06/2022,02:00 PM,11/06/2022,03:30 PM,False,"Danza
22k
nan
https://idartes.checkout.tuboleta.com/selection/event/date?productId=10228602025835&lang=es",Teatro Jorge Eliecer Gaitán,False
I Lobby To Much Presenta: La Milonga De La Capital,11/20/2022,02:00 PM,11/20/2022,03:30 PM,False,"Danza
22k
nan
https://idartes.checkout.tuboleta.com/selection/event/date?productId=10228602025835&lang=es",Teatro Jorge Eliecer Gaitán,False
I Lobby To Much Presenta: La Milonga De La Capital,12/04/2022,02:00 PM,12/04/2022,03:30 PM,False,"Danza
22k
nan
https://idartes.checkout.tuboleta.com/selection/event/date?productId=10228602025835&lang=es",Teatro Jorge Eliecer Gaitán,False
"""La Bella Y La Bestia""  Ballet Anna Pavlova. Colombia",12/03/2022,03:00 PM,12/03/2022,04:30 PM,False,"Danza
35k
nan
https://teatrocolon.checkout.tuboleta.com/selection/event/date?productId=10228716546975&gtmStepTracking=true&lang=es",Teatro Colón,False
"""La Bella Y La Bestia""  Ballet Anna Pavlova. Colombia",12/04/2022,11:00 AM,12/04/2022,12:30 PM,False,"Danza
35k
nan
https://teatrocolon.checkout.tuboleta.com/selection/event/date?productId=10228716546975&gtmStepTracking=true&lang=es",Teatro Colón,False
"""El Lago De Los Cisnes""  Ballet Anna Pavlova. Colombia",12/03/2022,07:30 PM,12/03/2022,09:00 PM,False,"Danza
35k
nan
https://teatrocolon.checkout.tuboleta.com/selection/event/date?productId=10228716546977&gtmStepTracking=true&lang=es",Teatro Colón,False
"""El Lago De Los Cisnes""  Ballet Anna Pavlova. Colombia",12/04/2022,05:00 PM,12/04/2022,06:30 PM,False,"Danza
35k
nan
https://teatrocolon.checkout.tuboleta.com/selection/event/date?productId=10228716546977&gtmStepTracking=true&lang=es",Teatro Colón,False
"Romeo Y Julieta, En Tiempo De Guerra",10/20/2022,08:00 PM,10/20/2022,09:30 PM,False,"Danza
0
Basada en la trágica historia de amor del dramaturgo inglés William Shakespeare, nace esta hermosa adaptación para danza en lenguaje de ballet contemporáneo de la mano del maestro y coreógrafo Jaime Otálora,  puesta en escena en el triste e injusto contexto de la Segunda Guerra Mundial.Conocidos desde adolescentes, los dos personajes se enamoraron a primera vista, y se juraron amor por el resto de sus vidas. Posterior a esto y consecuencia de la guerra perdieron contacto y cada uno fue obligado a tomar rumbos distintos.Romeo por su parte, hijo de alemanes fue ordenado a enlistarse como uno de los soldados a cargo de los campos de concentración que tejía la SS. Responsable de vigilar torturas y trabajos forzados a cada uno de los detenidos, constantemente se ve contrariado por su labor, y aunque quisiera, es consciente que es imposible abandonar su cargo, pues significaría su muerte.Julieta, judía, acostumbrada a una vida tranquila y económicamente estable, es llevada a uno de los campos de concentración de la Alemania Nazi, allí es sometida junto a otras mujeres a largas horas de trabajo, torturas y abusos de parte de los guardias que las vigilan. El miedo, el dolor, el cansancio y la frustración construyen lazos de amistad entre varias de ellas que harán lo posible por protegerse.Imposible de predecir, Romeo y Julieta se encuentran en el mismo lugar, ella apresada y él como su verdugo, amparados por la guerra, la decepción, y la muerte.Al verse, ese amor que se juraron desde adolescentes toma fuerza, conscientes de que su historia no podrá ser. La imposibilidad de ambos al reconocerse presos, cada uno en un bando diferente gracias a la guerra, desencadenará un final fatal, con el suicidio de Julieta y el asesinato de Romeo a manos de sus propios camaradas.Jaime Otalora: Director y coreógrafoBailarines solistas: Alejandro Bernal, Laura MartínezCuerpo de baile: Yury Alejandra Umaña, Manuela Alfonso, María José Sánchez, Lina Vanegas, Edwar Castro, Kevin BeltránIluminación: GiovannyVestuario: Catalina ArguelloDiagramación y diseño: Alejandro BernalComunicaciones: Lina VanegasDirigido a todo público a partir de los 7 años de edad
https://teatrolibre.com/programacion/romeo-y-julieta-en-tiempo-de-guerra/",Teatro Libre Chapinero,False
"Romeo Y Julieta, En Tiempo De Guerra",10/21/2022,08:00 PM,10/21/2022,09:30 PM,False,"Danza
0
Basada en la trágica historia de amor del dramaturgo inglés William Shakespeare, nace esta hermosa adaptación para danza en lenguaje de ballet contemporáneo de la mano del maestro y coreógrafo Jaime Otálora,  puesta en escena en el triste e injusto contexto de la Segunda Guerra Mundial.Conocidos desde adolescentes, los dos personajes se enamoraron a primera vista, y se juraron amor por el resto de sus vidas. Posterior a esto y consecuencia de la guerra perdieron contacto y cada uno fue obligado a tomar rumbos distintos.Romeo por su parte, hijo de alemanes fue ordenado a enlistarse como uno de los soldados a cargo de los campos de concentración que tejía la SS. Responsable de vigilar torturas y trabajos forzados a cada uno de los detenidos, constantemente se ve contrariado por su labor, y aunque quisiera, es consciente que es imposible abandonar su cargo, pues significaría su muerte.Julieta, judía, acostumbrada a una vida tranquila y económicamente estable, es llevada a uno de los campos de concentración de la Alemania Nazi, allí es sometida junto a otras mujeres a largas horas de trabajo, torturas y abusos de parte de los guardias que las vigilan. El miedo, el dolor, el cansancio y la frustración construyen lazos de amistad entre varias de ellas que harán lo posible por protegerse.Imposible de predecir, Romeo y Julieta se encuentran en el mismo lugar, ella apresada y él como su verdugo, amparados por la guerra, la decepción, y la muerte.Al verse, ese amor que se juraron desde adolescentes toma fuerza, conscientes de que su historia no podrá ser. La imposibilidad de ambos al reconocerse presos, cada uno en un bando diferente gracias a la guerra, desencadenará un final fatal, con el suicidio de Julieta y el asesinato de Romeo a manos de sus propios camaradas.Jaime Otalora: Director y coreógrafoBailarines solistas: Alejandro Bernal, Laura MartínezCuerpo de baile: Yury Alejandra Umaña, Manuela Alfonso, María José Sánchez, Lina Vanegas, Edwar Castro, Kevin BeltránIluminación: GiovannyVestuario: Catalina ArguelloDiagramación y diseño: Alejandro BernalComunicaciones: Lina VanegasDirigido a todo público a partir de los 7 años de edad
https://teatrolibre.com/programacion/romeo-y-julieta-en-tiempo-de-guerra/",Teatro Libre Chapinero,False
