Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
El Secreto de Susana Ermanno Wolf-Ferrari Ensamble de Ópera Javeriano,10/20/2022,07:00 PM,10/20/2022,08:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/el-secreto-de-susanaermanno-wolf-ferrariensamble-de-opera-javeriano/?occurrence=2022-10-20",Teatro Villa Mayor,False
Recital de GanadoresColombia Filarmónica,10/22/2022,03:00 PM,10/22/2022,04:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/recital-de-ganadorescolombia-filarmonica/?occurrence=2022-10-22",Parque Bicentenario (Localidad Santa Fé),False
APLAZADO – por programar / Conversatorio/Clase Magistral El Elíxir de Amor: la más colombiana de las óperas italianas,10/22/2022,03:00 PM,10/22/2022,04:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/conversatorio-clase-magistralel-elixir-de-amor-la-mas-colombiana-de-las-operas-italianas/?occurrence=2022-10-22",Librería Tornamesa Zona G,False
Ópera en Marionetas Fundación Ernesto Aronna,10/23/2022,11:00 AM,10/23/2022,12:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/opera-en-marionetasfundacion-ernesto-aronna/?occurrence=2022-10-23",Teatro Fundación Ernesto Aronna,False
"As One, Ópera de Laura Kaminsky Fundación La Compañia Estable",10/23/2022,03:00 PM,10/23/2022,04:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/as-onelaura-kaminskyfundacion-la-compania-estable/?occurrence=2022-10-23",Espacio Filarmónico,False
Concierto Didáctico «Érase una vez… La Orquesta» con presentación especial del montaje sinfónico-coral de: La Caperucita Roja,10/25/2022,11:00 AM,10/25/2022,12:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/caperucita-rojaorquesta-filarmonica-prejuvenildireccion-de-fomento-y-desarrollo/?occurrence=2022-10-25",Teatro Jorge Eliecer Gaitán,False
Concierto Didáctico «Érase una vez… La Orquesta» con presentación especial del montaje sinfónico-coral de: La Caperucita Roja,10/25/2022,03:00 PM,10/25/2022,04:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/concierto-didactico-erase-una-vez-la-orquesta-con-presentacion-especial-del-montaje-sinfonico-coral-de-la-caperucita-roja%ef%bf%bc/?occurrence=2022-10-25",Teatro Jorge Eliecer Gaitán,False
Ganadores Video-clip Orquesta Filarmónica de Bogotá,10/25/2022,04:30 PM,10/25/2022,06:00 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/ganadores-video-clip-ofb/?occurrence=2022-10-25",Cinemateca de Bogotá,False
‘El Elíxir de Amor’. Ópera de Gaetano Donizetti,10/26/2022,08:00 PM,10/26/2022,09:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/el-elixir-de-amor-opera-de-gaetano-donizetti/?occurrence=2022-10-26",Teatro Mayor Julio Mario Santo Domingo,False
‘El Elíxir de Amor’. Ópera de Gaetano Donizetti,10/28/2022,08:00 PM,10/28/2022,09:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/elixir-de-amorgaetano-donizettiorquesta-filarmonica-juvenilcoro-de-la-operaopera-de-colombiateatro-mayor-julio-mario-santodomingo/?occurrence=2022-10-28",Teatro Mayor Julio Mario Santo Domingo,False
‘El Elíxir de Amor’. Ópera de Gaetano Donizetti,10/30/2022,05:00 PM,10/30/2022,06:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/elixir-de-amorgaetano-donizettiorquesta-filarmonica-juvenilcoro-de-la-operaopera-de-colombiateatro-mayor-julio-mario-santodomingo-2/?occurrence=2022-10-30",Teatro Mayor Julio Mario Santo Domingo,False
Ganadores Convocatoria Conciertos Didácticos,11/02/2022,11:00 AM,11/02/2022,12:30 PM,False,"Festival
0
nan
https://filarmonicabogota.gov.co/eventos/concierto-didactico-ofjc/?occurrence=2022-11-02",Teatro El Ensueño,False
Naufragio,10/18/2022,10:00 AM,10/18/2022,11:30 AM,False,"Festival
0
Naufragio       Grupo: Colectivo La Perforadora       Director: Colectivo La Perforadora         Teatro El Ensueño - Tv. 70 D #60-90  Ciudad Bolívar     Todo público
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/naufragio",Teatro El Ensueño,False
Macondo… El cuento que se llevó el viento,10/18/2022,03:00 PM,10/18/2022,04:30 PM,False,"Festival
0
Macondo… El cuento que se llevó el viento      Grupo: Teatro Comunidad      Director: Javier Montoya Monroy        Centro Cultural Biblioteca Pública Julio Mario Santo Domingo - Cl. 170 #67-51  Suba     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/macondo-el-cuento-que-se-llevo-el-viento",Teatro Mayor Julio Mario Santo Domingo,False
Adentro… Gastom y Mandí,10/18/2022,07:00 PM,10/18/2022,08:30 PM,False,"Festival
0
Adentro… Gastom y Mandí       Grupo: Casa del Silencio       Director: Juan Carlos Agudelo         Casa del Teatro Nacional Carrera 20 No. 37 - 54  Teusaquillo     Todo público
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/adentro-gastom-y-mandi",La Casa del Teatro Nacional,False
Baile de cuervos,10/18/2022,07:00 PM,10/18/2022,08:30 PM,False,"Festival
0
Baile de cuervos      Grupo: Asociación compañía La Otra      Director: Juana Ibanaxca Salgado         Teatro Petra Carrera 15 Bis No. 39 - 39  Teusaquillo     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/baile-de-cuervos",Teatro Petra,False
