Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Beca de Creación Escénica Multidisciplinar para la Primera Infancia,12/10/2022,11:00 AM,12/10/2022,01:00 PM,False,"Teatro Musical
18k
Desde 2012, el Teatro Mayor Julio Mario Santo Domingo y el Teatro Jorge Eliécer Gaitán otorgan la Beca de Creación Multidisciplinar, que busca fomentar la creación y circulación de obras que integren mínimo tres áreas artísticas (las artes circenses, los títeres, la música, la danza y el arte dramático, entre otras) para presentarse en estos dos escenarios. La obra que se presentará será la ganadora de la beca.
https://www.teatromayor.org/es/evento/familia/beca-de-creacion-escenica-multidisciplinar-para-la-primera-infancia-5192?function=2726",Teatro Estudio,False
Beca de Creación Escénica Multidisciplinar para la Primera Infancia,12/11/2022,11:00 AM,12/11/2022,01:00 PM,False,"Teatro Musical
18k
Desde 2012, el Teatro Mayor Julio Mario Santo Domingo y el Teatro Jorge Eliécer Gaitán otorgan la Beca de Creación Multidisciplinar, que busca fomentar la creación y circulación de obras que integren mínimo tres áreas artísticas (las artes circenses, los títeres, la música, la danza y el arte dramático, entre otras) para presentarse en estos dos escenarios. La obra que se presentará será la ganadora de la beca.
https://www.teatromayor.org/es/evento/familia/beca-de-creacion-escenica-multidisciplinar-para-la-primera-infancia-5192?function=2727",Teatro Estudio,False
Mujeres a la plancha,10/18/2022,08:30 PM,10/18/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,10/19/2022,08:30 PM,10/19/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,10/25/2022,08:30 PM,10/25/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,10/26/2022,08:30 PM,10/26/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,11/01/2022,08:30 PM,11/01/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,11/02/2022,08:30 PM,11/02/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,11/08/2022,08:30 PM,11/08/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
Mujeres a la plancha,11/09/2022,08:30 PM,11/09/2022,10:00 PM,False,"Teatro Musical
0
Regresa Mujeres a la plancha, el show mas aclamado de la capital,  con su onceava edición de ARRASANDO, celebrando 6 años de éxito,  un espectáculo imperdible, que te llevara por un recorrido lleno de color, que te hará vibrar y cantar a grito herido con lo mejor de la música de plancha,
https://teatronacional.co/mujeres-a-la-plancha/",Teatro Nacional La Castellana,False
